电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,acc_臂2角度deg,acc_A-1角度deg_锚点到公共点,acc_A-2角度deg_锚点到公共点,rate_rss_A1A2,d_rate_rss_A1A2,acc_rss_A1A2,acc_abs_sum_A1A2
81,34.2,24.862,-97.049,-1.8000000000000007,0.8919999999999995,2.4055000000000035,-1.7763568394002505e-15,0.003000000000001002,0.027250000000002217,2.5655592470258832,0.026590231468965664,0.02741464024932895,0.03025000000000322
82,32.4,25.756,-94.63,-1.8000000000000007,0.8960000000000008,2.4325000000000045,8.881784197001252e-16,0.004000000000000448,0.026749999999996277,2.592271638929845,0.02648362350806721,0.02704741207583092,0.030749999999996724
83,30.6,26.654,-92.184,-1.799999999999999,0.9000000000000004,2.458999999999996,0.0,0.004249999999999865,0.026499999999998636,2.6185264940420176,0.02634579666439163,0.02683863819197849,0.0307499999999985
84,28.8,27.556,-89.712,-1.8000000000000007,0.9045000000000005,2.485500000000002,-8.881784197001252e-16,0.005249999999999311,0.026250000000004547,2.644963232258628,0.02646150943145953,0.026769852446366444,0.03150000000000386
85,27.0,28.463,-87.213,-1.8000000000000007,0.910499999999999,2.511500000000005,0.0,0.006749999999999368,0.025749999999998607,2.6714495129049367,0.026508098434884664,0.02662001126971812,0.032499999999997975
86,25.2,29.377,-84.689,-1.8000000000000007,0.9179999999999993,2.536999999999999,8.881784197001252e-16,0.00775000000000059,0.025499999999997414,2.6979794291283974,0.026615348844296394,0.026651688501854384,0.033249999999998
87,23.4,30.299,-82.139,-1.799999999999999,0.9260000000000002,2.5625,8.881784197001252e-16,0.008250000000000313,0.025500000000000966,2.7246802105935295,0.026785907584994995,0.026801352577809474,0.03375000000000128
88,21.6,31.229,-79.564,-1.799999999999999,0.9344999999999999,2.588000000000001,-8.881784197001252e-16,0.009250000000000647,0.025499999999997414,2.7515512442983874,0.027125844268028887,0.02712586404153571,0.03474999999999806
89,19.8,32.168,-76.963,-1.8000000000000007,0.9445000000000014,2.613499999999995,-8.881784197001252e-16,0.010500000000000398,0.02599999999999625,2.7789318991295873,0.02802103780551346,0.028040149785616576,0.036499999999996646
90,18.0,33.118,-74.337,-1.8000000000000007,0.9555000000000007,2.6399999999999935,4.440892098500626e-16,0.010999999999999233,0.02650000000000219,2.8075933199094143,0.028661733332624006,0.02869233347080887,0.03750000000000142
91,16.2,34.079,-71.683,-1.7999999999999998,0.9664999999999999,2.666499999999999,4.440892098500626e-16,0.011999999999998678,0.02650000000000574,2.8362553657948353,0.029003853899194798,0.029090376415582396,0.03850000000000442
92,14.4,35.051,-69.004,-1.7999999999999998,0.979499999999998,2.693000000000005,0.0,0.013499999999998735,0.027000000000001023,2.865601027707804,0.029988550351833787,0.03018691769624751,0.04049999999999976
93,12.6,36.038,-66.297,-1.7999999999999998,0.9934999999999974,2.7205000000000013,0.0,0.014000000000001123,0.027499999999996305,2.896232466498503,0.03063382444078111,0.030858548248416162,0.04149999999999743
94,10.8,37.038,-63.563,-1.7999999999999998,1.0075000000000003,2.7479999999999976,-2.220446049250313e-16,0.015000000000002345,0.028249999999999886,2.926868676589366,0.03168791342016597,0.031985348208204076,0.04325000000000223
95,9.0,38.053,-60.801,-1.8000000000000003,1.023500000000002,2.777000000000001,0.0,0.016500000000000625,0.02925000000000111,2.959608293338835,0.03315198564389954,0.033582919765858435,0.045750000000001734
96,7.2,39.085,-58.009,-1.7999999999999998,1.0405000000000015,2.8064999999999998,1.1102230246251565e-16,0.017499999999998295,0.02999999999999936,2.993172647877165,0.03421296436334731,0.034731109973623095,0.047499999999997655
97,5.4,40.134,-55.188,-1.8,1.0584999999999987,2.8369999999999997,-2.220446049250313e-16,0.018749999999998934,0.031000000000000583,3.0280342220655294,0.03559971649515048,0.036229304437154136,0.04974999999999952
98,3.6,41.202,-52.335,-1.8000000000000003,1.0779999999999994,2.868500000000001,0.0,0.019750000000001933,0.03200000000000003,3.064372080867466,0.03690237430488508,0.03760402239122935,0.05175000000000196
99,1.8,42.29,-49.451,-1.8,1.0980000000000025,2.901,1.1102230246251565e-16,0.015000000000002345,0.02474999999999916,3.1018389706752996,0.028453892414328275,0.028940672072362606,0.039750000000001506
100,0.0,43.398,-46.533,-1.8,1.108000000000004,2.9179999999999993,0.0,0.010000000000001563,0.01699999999999946,3.1212798656961227,0.019440895020823135,0.019723082923316346,0.027000000000001023
