电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,A1_A2夹角差deg,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,rate_A1_A2夹角差,rate_abs_sum_A1A2,rate_rss_A1A2
90,18.0,33.118,-74.337,107.45500000000001,-1.8000000000000007,0.9555000000000007,2.6399999999999935,-1.6844999999999999,3.595499999999994,2.8075933199094143
91,16.2,34.079,-71.683,105.762,-1.7999999999999998,0.9664999999999999,2.666499999999999,-1.7000000000000028,3.632999999999999,2.8362553657948353
92,14.4,35.051,-69.004,104.055,-1.7999999999999998,0.979499999999998,2.693000000000005,-1.7135000000000034,3.672500000000003,2.865601027707804
93,12.6,36.038,-66.297,102.335,-1.7999999999999998,0.9934999999999974,2.7205000000000013,-1.7270000000000039,3.7139999999999986,2.896232466498503
94,10.8,37.038,-63.563,100.601,-1.7999999999999998,1.0075000000000003,2.7479999999999976,-1.7404999999999973,3.755499999999998,2.926868676589366
95,9.0,38.053,-60.801,98.854,-1.8000000000000003,1.023500000000002,2.777000000000001,-1.7535000000000025,3.800500000000003,2.959608293338835
96,7.2,39.085,-58.009,97.094,-1.7999999999999998,1.0405000000000015,2.8064999999999998,-1.7659999999999982,3.8470000000000013,2.993172647877165
97,5.4,40.134,-55.188,95.322,-1.8,1.0584999999999987,2.8369999999999997,-1.778499999999994,3.8954999999999984,3.0280342220655294
98,3.6,41.202,-52.335,93.537,-1.8000000000000003,1.0779999999999994,2.868500000000001,-1.7905000000000015,3.9465000000000003,3.064372080867466
99,1.8,42.29,-49.451,91.741,-1.8,1.0980000000000025,2.901,-1.8029999999999973,3.9990000000000023,3.1018389706752996
100,0.0,43.398,-46.533,89.93100000000001,-1.8,1.108000000000004,2.9179999999999993,-1.809999999999988,4.026000000000003,3.1212798656961227
